Frame,Name,X,Y,Z,Score
13932,RIGHT_HIP,0.401479095,0.560747564,0.010369549,0.973878622
13932,LEFT_KNEE,0.447494268,0.720164299,-0.200975701,0.908749461
13932,RIGHT_KNEE,0.368052423,0.685098946,-0.168891996,0.947527468
13932,LEFT_ANKLE,0.433911383,0.897736132,-0.154243723,0.91091007
13932,RIGHT_ANKLE,0.358233422,0.897213817,-0.133538574,0.938809812
13932,LEFT_HEEL,0.428152859,0.921942055,-0.154585153,0.815185606
13932,RIGHT_HEEL,0.377679139,0.927748799,-0.133132488,0.83320266
13932,LEFT_FOOT_INDEX,0.445486486,0.950456977,-0.255022585,0.904475689
13932,RIGHT_FOOT_INDEX,0.33043319,0.96022296,-0.217663288,0.92192924
16183,LEFT_HIP,0.920393765,0.44125399,-0.047438677,0.999047518
16183,RIGHT_HIP,0.886176705,0.446085513,0.047453515,0.998753667
16183,LEFT_KNEE,0.929135203,0.568026125,-0.088997744,0.954826236
16183,RIGHT_KNEE,0.861502349,0.563154697,0.014063993,0.931442678
16183,LEFT_ANKLE,0.949847996,0.712547243,-0.051532585,0.895243406
16183,RIGHT_ANKLE,0.872488856,0.70215553,0.095044196,0.852847517
16183,LEFT_HEEL,0.958042622,0.732341826,-0.054344632,0.85503608
16183,RIGHT_HEEL,0.883589149,0.721173108,0.097728699,0.84978205
16183,LEFT_FOOT_INDEX,0.932646275,0.748472333,-0.147302672,0.856669784
16183,RIGHT_FOOT_INDEX,0.842307925,0.737283587,0.038642433,0.818127096
16184,LEFT_HIP,0.924439609,0.431650281,-0.046203937,0.999127388
16184,RIGHT_HIP,0.889587104,0.436668813,0.046206363,0.998854339
16184,LEFT_KNEE,0.932640672,0.559791088,-0.089356437,0.959067225
16184,RIGHT_KNEE,0.86574918,0.551609933,0.013471556,0.937466204
16184,LEFT_ANKLE,0.95276463,0.705592036,-0.054825656,0.905460477
16184,RIGHT_ANKLE,0.875802338,0.693524897,0.092375055,0.866817296
16184,LEFT_HEEL,0.961162448,0.725552022,-0.057246994,0.863084793
16184,RIGHT_HEEL,0.886631489,0.713879049,0.094735578,0.860660017
16184,LEFT_FOOT_INDEX,0.934933782,0.741403222,-0.155147403,0.870460689
16184,RIGHT_FOOT_INDEX,0.844404101,0.728045344,0.03502325,0.835312963
16185,LEFT_HIP,0.926982999,0.427167088,-0.045620035,0.999202073
16185,RIGHT_HIP,0.890901208,0.431517661,0.045634273,0.998944759
16185,LEFT_KNEE,0.93664515,0.557424903,-0.086410373,0.962951422
16185,RIGHT_KNEE,0.869496942,0.548604727,0.046649251,0.943109334
16185,LEFT_ANKLE,0.954084039,0.699890256,-0.053603016,0.914742649
16185,RIGHT_ANKLE,0.878493667,0.686025918,0.143084377,0.879600286
16185,LEFT_HEEL,0.961563885,0.720315874,-0.056984644,0.872936666
16185,RIGHT_HEEL,0.889227211,0.706168056,0.146954417,0.871355414
16185,LEFT_FOOT_INDEX,0.938010395,0.733076394,-0.155157655,0.883061647
16185,RIGHT_FOOT_INDEX,0.847475886,0.721508622,0.086982019,0.851008654
16186,LEFT_HIP,0.929889023,0.416777939,-0.04492132,0.999269247
16186,RIGHT_HIP,0.892937541,0.421230137,0.044935353,0.99902755
16186,LEFT_KNEE,0.940590084,0.549792826,-0.083467804,0.96643728
16186,RIGHT_KNEE,0.873019993,0.539988875,0.05100546,0.948149741
16186,LEFT_ANKLE,0.95556879,0.692137063,-0.050245386,0.923071265
16186,RIGHT_ANKLE,0.880262673,0.678146183,0.1452941,0.891037643
16186,LEFT_HEEL,0.962707996,0.712585688,-0.053803682,0.881138086
16186,RIGHT_HEEL,0.89077121,0.697797716,0.149121493,0.880466759
16186,LEFT_FOOT_INDEX,0.938862979,0.726005018,-0.153156012,0.894350111
16186,RIGHT_FOOT_INDEX,0.849855125,0.71384865,0.088733375,0.865072072
16187,LEFT_HIP,0.934587657,0.410283744,-0.044523098,0.999330163
16187,RIGHT_HIP,0.896956265,0.41455397,0.044530056,0.999103546
16187,LEFT_KNEE,0.944461226,0.544453204,-0.082646057,0.969538331
16187,RIGHT_KNEE,0.875488281,0.530975699,0.04792168,0.952662051
16187,LEFT_ANKLE,0.958830237,0.686520576,-0.049811833,0.930553079
16187,RIGHT_ANKLE,0.881067455,0.670853913,0.142556891,0.901294291
16187,LEFT_HEEL,0.965742111,0.707715333,-0.053416394,0.888575852
16187,RIGHT_HEEL,0.891827881,0.690992296,0.146471128,0.888433218
16187,LEFT_FOOT_INDEX,0.941491604,0.716481268,-0.152128071,0.904490292
16187,RIGHT_FOOT_INDEX,0.851626873,0.706875563,0.086912937,0.877668858
16188,LEFT_HIP,0.938429654,0.40381211,-0.039636791,0.999379039
16188,RIGHT_HIP,0.901143432,0.407425016,0.039603021,0.999169469
16188,LEFT_KNEE,0.949875832,0.537051976,-0.069093481,0.972275496
16188,RIGHT_KNEE,0.881209671,0.5248155,0.040244035,0.956773281
16188,LEFT_ANKLE,0.96357584,0.675454617,-0.025307754,0.937237859
16188,RIGHT_ANKLE,0.883620381,0.664308786,0.128028899,0.910635054
16188,LEFT_HEEL,0.968935013,0.693886161,-0.027708858,0.893900752
16188,RIGHT_HEEL,0.89427197,0.684944689,0.131287456,0.895551085
16188,LEFT_FOOT_INDEX,0.95249635,0.71102792,-0.123423919,0.913512647
16188,RIGHT_FOOT_INDEX,0.854805946,0.699993372,0.07033816,0.889126003
16189,LEFT_HIP,0.942172647,0.393521577,-0.029243004,0.999421597
16189,RIGHT_HIP,0.904564679,0.3967264,0.029181769,0.999235451
16189,LEFT_KNEE,0.957644165,0.529007018,-0.061721515,0.974519312
16189,RIGHT_KNEE,0.88601172,0.51601845,0.004053078,0.960645616
16189,LEFT_ANKLE,0.969131768,0.670191467,-0.014324201,0.943085909
16189,RIGHT_ANKLE,0.885931849,0.657923698,0.079073302,0.919165969
16189,LEFT_HEEL,0.970683694,0.688171625,-0.016383942,0.897222102
16189,RIGHT_HEEL,0.895808339,0.678318977,0.080980994,0.902082384
16189,LEFT_FOOT_INDEX,0.969994426,0.702041686,-0.109625891,0.921296179
16189,RIGHT_FOOT_INDEX,0.85951221,0.693474352,0.011002545,0.899543405
16190,LEFT_HIP,0.946962953,0.384863824,-0.027851518,0.999456167
16190,RIGHT_HIP,0.908695042,0.387025833,0.027816778,0.999289393
16190,LEFT_KNEE,0.963331819,0.522855699,-0.056759454,0.976545334
16190,RIGHT_KNEE,0.892325401,0.513400316,0.009840462,0.964052022
16190,LEFT_ANKLE,0.975948691,0.664448082,-0.000763524,0.948288262
16190,RIGHT_ANKLE,0.890557408,0.652822554,0.089982167,0.926742911
16190,LEFT_HEEL,0.977164447,0.679633796,-0.002152218,0.89821893
16190,RIGHT_HEEL,0.899736106,0.673751891,0.092460968,0.906998098
16190,LEFT_FOOT_INDEX,0.976531029,0.70005548,-0.097756214,0.927958786
16190,RIGHT_FOOT_INDEX,0.864633381,0.687659919,0.021609424,0.908618629
16191,LEFT_HIP,0.952963173,0.379579157,-0.029819649,0.999487042
16191,RIGHT_HIP,0.91372335,0.382330447,0.029802755,0.999342144
16191,LEFT_KNEE,0.968603969,0.521262407,-0.06359224,0.978187501
16191,RIGHT_KNEE,0.897847176,0.514188826,0.014095539,0.966963172
16191,LEFT_ANKLE,0.982673526,0.661670268,-0.007146172,0.952751815
16191,RIGHT_ANKLE,0.894981503,0.651476502,0.091976412,0.933451414
16191,LEFT_HEEL,0.982906044,0.678599358,-0.008452973,0.89793694
16191,RIGHT_HEEL,0.903679073,0.672594607,0.093654059,0.911615133
16191,LEFT_FOOT_INDEX,0.985465348,0.695928633,-0.10448774,0.933507085
16191,RIGHT_FOOT_INDEX,0.866630435,0.68478477,0.018020574,0.916564822
16192,LEFT_HIP,0.959166706,0.379396141,-0.031007957,0.999501646
16192,RIGHT_HIP,0.919623077,0.38210386,0.031000406,0.999375343
16192,LEFT_KNEE,0.974523365,0.525308311,-0.064937606,0.97929132
16192,RIGHT_KNEE,0.90168494,0.515704751,0.038515355,0.968560159
16192,LEFT_ANKLE,0.987038136,0.665620863,-0.017698403,0.956276238
16192,RIGHT_ANKLE,0.895202756,0.650540471,0.138366446,0.938330472
16192,LEFT_HEEL,0.985794902,0.684384942,-0.019441875,0.895459116
16192,RIGHT_HEEL,0.903487027,0.670064867,0.142531991,0.911865711
16192,LEFT_FOOT_INDEX,0.986238122,0.702841043,-0.114810109,0.937240064
16192,RIGHT_FOOT_INDEX,0.86808157,0.684001088,0.064155668,0.921760142
16193,LEFT_HIP,0.96681118,0.381172776,-0.022630226,0.999427199
16193,RIGHT_HIP,0.926377892,0.383208901,0.022592118,0.999395967
16193,LEFT_KNEE,0.97947073,0.524753213,-0.059406042,0.97961539
16193,RIGHT_KNEE,0.907078564,0.516088247,0.005586748,0.97063601
16193,LEFT_ANKLE,0.987137675,0.666586936,0.010400393,0.958931565
16193,RIGHT_ANKLE,0.897159398,0.65059638,0.106090918,0.943297267
16193,LEFT_HEEL,0.983692825,0.687471628,0.010524777,0.889864564
16193,RIGHT_HEEL,0.904850841,0.670428872,0.110324241,0.913122475
16193,LEFT_FOOT_INDEX,0.991492271,0.707325041,-0.087039061,0.939293742
